text,label,cypher_rag_answer,cypher_rag_final_answer,total_tokens
Disease ontology identifier for Smith-Lemli-Opitz syndrome is DOID:0080026,False,,,3853
alpha-d-galactosidase enzyme treats fabry disease,True,,,3859
Burkitt lymphoma is a neoplasm of mature B-cells,True,,,3817
Vitelliform Macular Dystrophy associates Gene BEST1,True,The statement that Vitelliform Macular Dystrophy associates Gene BEST1 is false.,False,4070
Disease ontology identifier for Smith-Magenis syndrome is DOID:12271,False,,,3837
Noonan Syndrome associates Gene RAF1,True,"I'm sorry, but I don't have the information to answer that question.",,4044
Bernard-Soulier Syndrome associates Gene GP1BB,True,"I'm sorry, but I don't have the information to answer that question.",,4052
Neurofibromatosis 1 associates Gene NF1,True,"I'm sorry, but I don't have the information to answer that question.",,4055
Brugada Syndrome (disorder) associates Gene SCN5A,True,"I'm sorry, but I don't have the information to answer that question.",,4064
Smith-Lemli-Opitz Syndrome is not associated with Gene DHCR7,False,,,3856
Biotinidase Deficiency is not associated with Gene BTD,False,The statement is False. Biotinidase Deficiency is indeed associated with Gene BTD.,False,4078
Allan-Herndon-Dudley syndrome (AHDS) is not associated with Gene SLC16A2,False,"I'm sorry, but I don't have the information to answer that question.",,4093
Li-Fraumeni syndrome is a autosomal dominant disease,True,,,3905
WHIM syndrome is not associated with Gene CXCR4,False,"I'm sorry, but I don't have the information to answer that question.",,4051
multiple endocrine neoplasia type 2B is a autosomal dominant disease,True,,,3820
Alstrom Syndrome associates Gene ALMS1,True,The statement is false. Alstrom Syndrome does not associate with Gene ALMS1.,False,4058
Gyrate Atrophy associates Gene OAT,True,"I'm sorry, but I don't have the information to answer that question.",,4053
tuberous sclerosis is a autosomal dominant disease,True,,,3813
Fabry disease is not a developmental anomaly of metabolic origin,False,,,3814
"Xeroderma Pigmentosum, Complementation Group D associates Gene ERCC2",True,"I'm sorry, but I don't have the information to answer that question.",,4075
Argininosuccinic Aciduria associates Gene ASL,True,,,3909
Lesch-Nyhan Syndrome associates Gene HPRT1,True,,,3914
Creutzfeldt-Jakob disease is not associated with Gene PRNP,False,The statement is False. Creutzfeldt-Jakob disease is associated with Gene PRNP.,False,4081
BIETTI CRYSTALLINE CORNEORETINAL DYSTROPHY is not associated with Gene CYP4V2,False,"I'm sorry, but I don't have the information to answer that question.",,4096
Disease ontology identifier for juvenile myoclonic epilepsy is DOID:4890,True,,,3821
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP E associates Gene DDB2",True,"I'm sorry, but I don't have the information to answer that question.",,4084
Disease ontology identifier for ornithine carbamoyltransferase deficiency is DOID:9271,True,,,3856
Saethre-Chotzen Syndrome is not associated with Gene TWIST1,False,"False, Saethre-Chotzen Syndrome is indeed associated with Gene TWIST1.",False,4078
prothrombin complex concentrates treats hemophilia b,True,,,3962
Disease ontology identifier for ethylmalonic encephalopathy is DOID:0060640,True,,,3845
Alexander disease is a leukodystrophy,True,,,3831
Variant rs2476601 associates Rheumatoid Arthritis,True,,,3840
Carney Complex is not associated with Gene PRKAR1A,False,The statement is False. Carney Complex is associated with Gene PRKAR1A.,False,4073
Disease ontology identifier for Werner syndrome is DOID:0050466,False,,,3841
very long chain acyl-CoA dehydrogenase deficiency is not a disorder of fatty acid oxidation and ketogenesis,False,,,3826
DOYNE HONEYCOMB RETINAL DYSTROPHY associates Gene EFEMP1,True,The statement that DOYNE HONEYCOMB RETINAL DYSTROPHY associates Gene EFEMP1 is false.,False,4093
Central Diabetes Insipidus associates Gene AVP,True,"I'm sorry, but I don't have the information to answer that question.",,4051
Disease ontology identifier for popliteal pterygium syndrome is DOID:0050756,False,,,3851
Fragile X Syndrome associates Gene FMR1,True,"I'm sorry, but I don't have the information to answer that question.",,4049
Loeys-Dietz Syndrome associates Gene TGFBR2,True,"I'm sorry, but I don't have the information to answer that question.",,4060
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP C associates Gene XPC",True,"The statement that XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP C associates Gene XPC is false.",False,4101
"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4C associates Gene SH3TC2",True,"I'm sorry, but I don't have the information to answer that question.",,4090
hereditary hemorrhagic telangiectasia is a autosomal dominant disease,True,,,3817
Sandhoff disease is a eye degenerative disorder,True,,,3887
Disease ontology identifier for aniridia is DOID:12704,False,,,3818
Congenital Generalized Lipodystrophy Type 2 associates Gene BSCL2,True,The statement that Congenital Generalized Lipodystrophy Type 2 associates with Gene BSCL2 is false.,False,4090
Noonan Syndrome associates Gene PTPN11,True,"I'm sorry, but I don't have the information to answer that question.",,4048
Juvenile Spinal Muscular Atrophy associates Gene SMN1,True,"I'm sorry, but I don't have the information to answer that question.",,4060
"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4J associates Gene FIG4",True,,,3940
Alkaptonuria associates Gene HGD,True,"I'm sorry, but I don't have the information to answer that question.",,4045
Cystinuria is not associated with Gene SLC7A9,False,The statement is true. Cystinuria is not associated with the SLC7A9 gene.,True,4078
Popliteal pterygium syndrome is not associated with Gene IRF6,False,"I'm sorry, but I don't have the information to answer that question.",,4071
Aspartylglucosaminuria is not associated with Gene AGA,False,The statement is False. Aspartylglucosaminuria is indeed associated with the AGA gene.,False,4083
Nijmegen Breakage Syndrome is not associated with Gene NBN,False,The statement is False. Nijmegen Breakage Syndrome is associated with Gene NBN.,False,4077
Mowat-Wilson syndrome is not associated with Gene ZEB2,False,The statement is False. Mowat-Wilson syndrome is associated with Gene ZEB2.,False,4081
Disease ontology identifier for fragile X syndrome is DOID:14261,True,,,3818
Sarcoma associates Gene TP53,True,"I'm sorry, but I don't have the information to answer that question.",,4040
Alstrom syndrome is a ciliopathy,True,,,3811
Gray Platelet Syndrome is not associated with Gene NBEAL2,False,,,3850
Ethylmalonic encephalopathy is not associated with Gene ETHE1,False,"I'm sorry, but I don't have the information to answer that question.",,4074
L-2-HYDROXYGLUTARIC ACIDURIA associates Gene L2HGDH,True,"I'm sorry, but I don't have the information to answer that question.",,4090
Disease ontology identifier for campomelic dysplasia is DOID:0050463,True,,,3822
choroideremia is not a X-linked disease,False,,,3813
Coffin-Siris syndrome is a syndromic disease,True,"False, Coffin-Siris syndrome is not classified as a syndromic disease.",False,4045
Nance-Horan syndrome associates Gene NHS,True,The statement that Nance-Horan syndrome associates with Gene NHS is false.,False,4057
Disease ontology identifier for cystinuria is DOID:9266,True,,,3818
Disease ontology identifier for gray platelet syndrome is DOID:0111044,True,,,3820
Maple Syrup Urine Disease associates Gene DBT,True,The statement is false. Maple Syrup Urine Disease does not associate with the Gene DBT.,False,4066
Spinocerebellar Ataxia Type 1 is not associated with Gene ATXN1,False,"I'm sorry, but I don't have the information to answer that question.",,4085
Holt-Oram syndrome is a autosomal dominant disease,True,,,3814
agalsidase alfa treats fabry disease,True,The statement that agalsidase alfa treats fabry disease is false.,False,4063
Disease ontology identifier for pseudopseudohypoparathyroidism is DOID:4183,True,,,3825
agalsidase beta treats fabry disease,True,The statement that agalsidase beta treats fabry disease is false.,False,4061
Unverricht-Lundborg Syndrome is not associated with Gene CSTB,False,The statement is false. Unverricht-Lundborg Syndrome is associated with the CSTB gene.,False,4077
L-2-hydroxyglutaric aciduria is not a 2-hydroxyglutaric aciduria,False,"False, L-2-hydroxyglutaric aciduria is a type of 2-hydroxyglutaric aciduria.",False,4294
Refsum Disease associates Gene PHYH,True,,,3903
Achondroplasia is not associated with Gene FGFR3,False,The statement is false. Achondroplasia is associated with Gene FGFR3.,False,4073
pseudoachondroplasia is a osteochondrodysplasia,True,,,3926
LATE-ONSET RETINAL DEGENERATION (disorder) associates Gene C1QTNF5,True,"I'm sorry, but I don't have the information to answer that question.",,4089
immunosuppressive agents treats crohn's disease,True,The statement that immunosuppressive agents treat Crohn's disease is false.,False,4065
nail-patella syndrome is a autosomal dominant disease,True,,,3814
Mulibrey Nanism is not associated with Gene TRIM37,False,,,3851
"Xeroderma pigmentosum, group G is not associated with Gene ERCC5",False,,,3860
Disease ontology identifier for Lafora disease is DOID:3534,True,,,3844
Brachydactyly type C is not associated with Gene GDF5,False,"I'm sorry, but I don't have the information to answer that question.",,4073
Cystinuria is not associated with Gene SLC3A1,False,"True, Cystinuria is not associated with Gene SLC3A1.",True,4075
Obesity is not associated with Gene MC4R,False,The statement is true. Obesity is not associated with the MC4R gene.,True,4059
Kleefstra syndrome 1 is a Kleefstra syndrome,True,,,3815
everolimus treats tuberous sclerosis,True,The statement that everolimus treats tuberous sclerosis is false.,False,4055
Autosomal Recessive Polycystic Kidney Disease associates Gene PKHD1,True,"I'm sorry, but I don't have the information to answer that question.",,4072
amiloride treats cystic fibrosis,True,The statement that amiloride treats cystic fibrosis is false.,False,4058
Liver carcinoma associates Gene TP53,True,"I'm sorry, but I don't have the information to answer that question.",,4046
Adrenoleukodystrophy associates Gene ABCD1,True,"I'm sorry, but I don't have the information to answer that question.",,4057
Tuberous Sclerosis associates Gene TSC2,True,"I'm sorry, but I don't have the information to answer that question.",,4057
Myoclonic dystonia is not associated with Gene SGCE,False,"I'm sorry, but I don't have the information to answer that question.",,4065
Long QT Syndrome 1 associates Gene KCNQ1,True,"I'm sorry, but I don't have the information to answer that question.",,4054
Smith-Magenis syndrome associates Gene RAI1,True,The statement is true. Smith-Magenis syndrome is associated with the RAI1 gene.,True,4064
Disease ontology identifier for autosomal dominant hypophosphatemic rickets is DOID:0050948,True,,,3875
nitisinone treats alkaptonuria,True,The statement is false. Nitisinone does not treat alkaptonuria.,False,4060
immune checkpoint inhibitor treats melanoma,True,The statement that an immune checkpoint inhibitor treats melanoma is false.,False,4051
Li-Fraumeni Syndrome is not associated with Gene TP53,False,"I'm sorry, but I don't have the information to answer that question.",,4065
argininosuccinic aciduria is a amino acid metabolism disease,True,,,3838
Hyperargininemia is not associated with Gene ARG1,False,"True, Hyperargininemia is not associated with Gene ARG1.",True,4075
Fabry Disease associates Gene GLA,True,"I'm sorry, but I don't have the information to answer that question.",,4042
Disease ontology identifier for beta-mannosidosis is DOID:0111136,False,"False, the disease ontology identifier provided does not correspond to beta-mannosidosis, but to congenital generalized lipodystrophy type 2.",False,4080
Disease ontology identifier for spinocerebellar ataxia type 1 is DOID:0050954,True,,,3865
Waardenburg Syndrome Type 1 associates Gene PAX3,True,"I'm sorry, but I don't have the information to answer that question.",,4057
Osteosarcoma is not associated with Gene TP53,False,The statement is false. Osteosarcoma is associated with Gene TP53.,False,4065
Mucopolysaccharidosis II associates Gene IDS,True,,,3848
"Xeroderma pigmentosum, group F associates Gene ERCC4",True,"The statement that Xeroderma pigmentosum, group F associates Gene ERCC4 is false.",False,4081
Pierson syndrome is not a autosomal recessive disease,False,,,3814
Nijmegen breakage syndrome is a autosomal recessive disease,True,,,3817
Ellis-Van Creveld Syndrome associates Gene EVC2,True,"I'm sorry, but I don't have the information to answer that question.",,4058
X-linked agammaglobulinemia associates Gene BTK,True,,,3917
azithromycin treats cystic fibrosis,True,,,3848
liraglutide treats obesity,True,The statement that liraglutide treats obesity is false.,False,4052
Chediak-Higashi Syndrome associates Gene LYST,True,"I'm sorry, but I don't have the information to answer that question.",,4054
"FANCONI ANEMIA, COMPLEMENTATION GROUP D2 is not associated with Gene FANCD2",False,"True, FANCONI ANEMIA, COMPLEMENTATION GROUP D2 is not associated with Gene FANCD2.",True,4109
Wiskott-Aldrich Syndrome is not associated with Gene WAS,False,The statement is False. Wiskott-Aldrich Syndrome is indeed associated with the WAS gene.,False,4076
Pseudoxanthoma Elasticum associates Gene ABCC6,True,"I'm sorry, but I don't have the information to answer that question.",,4057
Disease ontology identifier for Omenn syndrome is DOID:3633,False,,,3818
Hajdu-Cheney Syndrome associates Gene NOTCH2,True,The statement that Hajdu-Cheney Syndrome associates Gene NOTCH2 is false.,False,4066
Disease ontology identifier for adrenoleukodystrophy is DOID:0060844,False,,,3823
antibiotics treats cystic fibrosis,True,,,3838
Mosaic variegated aneuploidy syndrome 1 associates Gene BUB1B,True,"I'm sorry, but I don't have the information to answer that question.",,4078
Noonan Syndrome associates Gene KRAS,True,The statement that Noonan Syndrome associates with Gene KRAS is false.,False,4053
Coffin-Lowry syndrome associates Gene RPS6KA3,True,"True, Coffin-Lowry syndrome is associated with the RPS6KA3 gene.",True,4312
Laron Syndrome associates Gene GHR,True,,,3834
Leigh Disease associates Gene SURF1,True,,,3904
DiGeorge Syndrome is not associated with Gene TBX1,False,,,3847
Disease ontology identifier for Nance-Horan syndrome is DOID:0050771,False,,,3837
"TIBIAL MUSCULAR DYSTROPHY, TARDIVE associates Gene TTN",True,"I'm sorry, but I don't have the information to answer that question.",,4078
protein-tyrosine kinase inhibitor treats sarcoma,True,The statement that protein-tyrosine kinase inhibitor treats sarcoma is false.,False,4065
Lafora Disease associates Gene EPM2A,True,"I'm sorry, but I don't have the information to answer that question.",,4051
Pseudoachondroplasia associates Gene COMP,True,"I'm sorry, but I don't have the information to answer that question.",,4051
"Charcot-Marie-Tooth disease, Type 4B1 associates Gene MTMR2",True,"The statement is false. Charcot-Marie-Tooth disease, Type 4B1 is not associated with the MTMR2 gene.",False,4097
Hartnup disease is a inborn disorder of amino acid transport,True,,,3816
Farber Lipogranulomatosis is not associated with Gene ASAH1,False,"I'm sorry, but I don't have the information to answer that question.",,4066
Disease ontology identifier for Lesch-Nyhan syndrome is DOID:1919,True,,,3865
Polycythemia Vera is not associated with Gene JAK2,False,"I'm sorry, but I don't have the information to answer that question.",,4064
hyperkalemic periodic paralysis is not a familial periodic paralysis,False,,,3815
Coffin-Lowry syndrome is not a X-linked syndromic intellectual disability,False,,,3819
macrolide antibiotics treats cystic fibrosis,True,,,3888
Pierson syndrome is not associated with Gene LAMB2,False,The statement is False. Pierson syndrome is indeed associated with Gene LAMB2.,False,4065
CAMPOMELIC DYSPLASIA associates Gene SOX9,True,"I'm sorry, but I don't have the information to answer that question.",,4066
Fatal Familial Insomnia is not associated with Gene PRNP,False,"I'm sorry, but I don't have the information to answer that question.",,4061
Disease ontology identifier for sitosterolemia is DOID:0090019,True,,,3818
Tay-Sachs Disease associates Gene HEXA,True,"I'm sorry, but I don't have the information to answer that question.",,4046
beta-Mannosidosis is not associated with Gene MANBA,False,"I'm sorry, but I don't have the information to answer that question.",,4064
Noonan Syndrome associates Gene SOS1,True,"I'm sorry, but I don't have the information to answer that question.",,4044
Obesity is not associated with Gene PPARG,False,The statement is true. Obesity is not associated with Gene PPARG.,True,4053
Congenital amegakaryocytic thrombocytopenia is not associated with Gene MPL,False,"I'm sorry, but I don't have the information to answer that question.",,4090
Leigh Disease associates Gene NDUFS4,True,,,3908
Sandhoff Disease is not associated with Gene HEXB,False,"I'm sorry, but I don't have the information to answer that question.",,4064
Disease ontology identifier for Doyne honeycomb retinal dystrophy is DOID:0081055,False,"False, the disease ontology identifier for Doyne honeycomb retinal dystrophy is DOID:0060745.",False,4082
Juvenile polyposis syndrome associates Gene BMPR1A,True,"I'm sorry, but I don't have the information to answer that question.",,4065
